normal,uniform,poisson
5.290052,1.0897073,2.0
5.825592,1.908431,6.0
1.1293523,2.2489548,7.0
2.9467134,1.1210399,2.0
1.5900958,2.4845023,7.0
7.032231,1.6562169,5.0
4.4759793,1.6718206,5.0
-2.7242737,2.8511982,10.0
7.0853243,2.7069325,9.0
0.10760546,1.3034768,4.0
-0.67953753,1.7859776,5.0
-2.44553,2.6752996,8.0
-2.7029004,2.286766,7.0
5.0984755,2.6462955,8.0
3.4536972,1.703005,5.0
1.0367274,2.3887496,7.0
1.1608468,1.702976,5.0
1.3406495,1.6392505,5.0
-1.1693587,2.5992856,8.0
4.0153494,2.8584108,10.0
-2.4739475,1.0748999,2.0
0.9590099,1.857082,5.0
-0.92969155,1.6630278,5.0
3.3222454,2.3729439,7.0
0.6562674,1.9744976,6.0
8.367495,1.1555821,3.0
5.955785,2.7561312,9.0
-2.1716175,2.9111195,10.0
4.7291045,2.2971995,7.0
-2.230895,1.719202,5.0
1.9342124,2.228395,7.0
4.9437985,2.015596,6.0
3.3362355,2.1288505,6.0
4.6559114,2.682878,8.0
2.6167974,1.3215709,4.0
5.117587,2.9596686,11.0
5.9833994,1.5462474,4.0
1.3090391,1.5155764,4.0
1.2788059,1.6007595,5.0
0.33791125,2.894487,10.0
0.59039974,2.2887688,7.0
0.29867518,1.3530577,4.0
0.35957026,2.8506505,10.0
3.631988,1.664238,5.0
2.9910934,2.2386012,7.0
-4.015923,2.4673586,7.0
6.9624863,1.8741074,5.0
1.5661073,2.976803,12.0
-1.5665922,2.6470551,8.0
-0.98644066,1.0604925,2.0
1.3550098,1.630594,5.0
0.74561226,2.6173792,8.0
3.079331,1.0444798,2.0
4.8245006,1.5698714,4.0
4.4686565,1.151947,3.0
-0.6850889,1.3925722,4.0
5.5049086,1.7712674,5.0
1.1433399,1.6729422,5.0
1.3990089,1.6729903,5.0
-2.5425224,1.4924555,4.0
1.2002575,1.0674529,2.0
2.4855804,2.1785457,6.0
8.905711,1.414495,4.0
1.8958452,1.9581013,6.0
6.0695524,2.6584077,8.0
0.6557846,2.9924924,13.0
1.9124668,2.4559813,7.0
0.39161086,1.9420774,6.0
3.9310255,2.774126,9.0
5.247587,1.3448571,4.0
-3.9929514,2.1358652,6.0
-0.7545674,1.4494143,4.0
2.0169828,2.539608,8.0
0.14367223,1.4664929,4.0
0.9412837,2.4164488,7.0
3.7970335,2.246541,7.0
-3.526218,2.6738305,8.0
2.0157993,1.9022634,6.0
4.131069,1.6512547,5.0
-1.0748022,2.6256895,8.0
0.86185455,2.4348192,7.0
1.824777,1.6484941,5.0
2.1563582,2.1922028,6.0
4.5477705,2.7122662,9.0
2.655678,1.7483089,5.0
2.3204858,1.3021424,3.0
2.2611709,2.2741327,7.0
5.1216636,2.0026965,6.0
0.7438104,2.4574988,7.0
1.5418656,2.409186,7.0
-0.14641523,1.6141682,5.0
2.1428468,1.8202325,5.0
-2.0711403,1.6314037,5.0
3.3169217,1.1997296,3.0
-4.9942513,1.1634269,3.0
0.6463547,2.3762345,7.0
2.4275024,2.869296,10.0
0.7627189,1.8973331,6.0
2.953866,2.4485726,7.0
1.706282,1.124418,3.0
-3.6295261,2.5387444,8.0
4.785382,1.790055,5.0
-1.4017942,2.940712,11.0
-2.0642085,2.09557,6.0
-5.6974235,2.8847423,10.0
3.5801036,1.2507157,3.0
-0.9969008,2.8891342,10.0
1.9871042,2.9002364,10.0
5.68267,2.9474351,11.0
6.131137,2.8938813,10.0
1.8969377,2.057396,6.0
3.051501,1.0868734,2.0
3.3836827,1.2259368,3.0
4.711799,1.0570638,2.0
2.172182,1.7992485,5.0
1.3593316,2.542974,8.0
3.1926003,1.0257425,1.0
0.3844633,1.7936412,5.0
-0.61465454,2.911909,10.0
0.68000436,1.6266565,5.0
2.3104672,2.4272346,7.0
4.500574,2.5649965,8.0
5.2570124,2.7041764,9.0
-2.178009,1.7162278,5.0
-1.1475925,1.8127822,5.0
4.200631,1.8193746,5.0
0.1718278,1.7168899,5.0
-0.8671758,1.8652108,5.0
5.3475847,2.8899343,10.0
5.9142046,1.644959,5.0
0.67849374,1.5332317,4.0
-2.0008965,2.2503433,7.0
2.2392426,2.1482072,6.0
0.8599181,1.6846662,5.0
0.98977757,2.116374,6.0
3.3464873,2.1000445,6.0
-3.6153226,2.6869652,8.0
8.545466,1.5001601,4.0
-1.517484,2.1119683,6.0
-0.86030436,2.7908509,9.0
4.555254,1.3518953,4.0
0.26759553,1.5725836,5.0
4.1976004,2.5529804,8.0
2.882515,1.7993202,5.0
-2.0636034,1.1175753,2.0
2.6121264,2.12751,6.0
-0.66001415,1.4043677,4.0
4.117789,2.1969047,6.0
5.627592,1.6536362,5.0
2.9539337,1.9716139,6.0
2.77869,1.3851002,4.0
-1.0725698,1.3752923,4.0
-3.8576107,2.0120177,6.0
1.9569619,2.5285578,8.0
6.546797,2.5050268,8.0
0.43240833,1.6897185,5.0
1.9084008,2.372819,7.0
-2.9257898,1.2616017,3.0
-1.6585553,1.7540832,5.0
1.292757,2.7077446,9.0
0.76730144,2.78624,9.0
2.047749,1.670428,5.0
-0.97615385,1.3813453,4.0
5.207575,1.7510052,5.0
4.4748325,1.8481205,5.0
3.4086995,2.049687,6.0
4.1192665,2.2014256,6.0
4.415019,2.417427,7.0
0.20078921,1.2465696,3.0
3.9772553,2.1967595,6.0
3.3170385,1.3657129,4.0
2.1923132,1.7714123,5.0
3.0290313,1.1171916,2.0
0.362669,2.256241,7.0
-0.029448032,1.0359573,2.0
5.3557415,1.8894945,5.0
-2.5425067,2.144403,6.0
2.463259,2.8886418,10.0
6.5972652,1.3976972,4.0
-4.239354,2.4489608,7.0
1.8981533,1.3463453,4.0
4.9663973,2.9508066,11.0
4.3786945,2.4510307,7.0
3.801444,2.0469437,6.0
-1.8229325,1.4808916,4.0
3.8485317,1.8755535,5.0
4.6604285,2.016231,6.0
-1.0883992,2.9374824,11.0
5.03434,1.0102447,1.0
6.8751583,2.9380322,11.0
2.4521039,2.391706,7.0
-0.9363482,2.8740506,10.0
-1.3758447,2.5616314,8.0
5.100846,2.5962992,8.0
1.9274278,1.1017998,2.0
0.26919484,2.7450562,9.0
4.014743,2.8215895,9.0
1.3692228,2.093613,6.0
-0.07582998,2.1719408,6.0
-0.9211111,1.6898074,5.0
3.6884074,1.8013484,5.0
2.8129776,2.5099473,8.0
-0.55584145,1.3686296,4.0
0.08245516,2.3824477,7.0
8.041511,2.4108043,7.0
1.3538634,1.4502249,4.0
-0.846709,1.8417759,5.0
2.408679,2.1713612,6.0
5.884472,2.2785873,7.0
5.202697,2.5567672,8.0
3.8815222,1.6068736,5.0
4.225405,2.7615447,9.0
-1.0582118,2.7557254,9.0
4.359356,2.033465,6.0
-0.8771281,1.3045242,4.0
1.2395439,2.1274507,6.0
0.35200107,1.0403987,2.0
5.1127806,1.3691671,4.0
3.5354173,1.6748008,5.0
-2.8029318,1.3437963,4.0
0.16772747,2.3612895,7.0
1.5409741,2.4477873,7.0
-1.5586984,1.1839575,3.0
8.383008,2.021844,6.0
5.855639,2.1570263,6.0
4.0109997,2.2326312,7.0
-4.6732645,1.2409824,3.0
-3.8785343,1.0386487,2.0
4.796475,1.1892197,3.0
1.6789865,1.2124406,3.0
4.341987,1.4414937,4.0
3.2755964,2.2467756,7.0
-1.2149653,1.5265946,4.0
5.990129,2.7966576,9.0
-3.198616,2.2764802,7.0
-0.25237846,1.8519845,5.0
2.5301824,2.3377137,7.0
-4.8213234,1.8474064,5.0
-0.3166771,1.7433852,5.0
3.9788291,1.146385,3.0
6.154837,1.4297969,4.0
5.7679434,1.5356952,4.0
4.1302576,1.2970339,3.0
6.4495616,1.284559,3.0
0.6959908,1.471132,4.0
5.0703077,2.7093358,9.0
-0.05129075,1.5779054,5.0
7.1792316,1.7901528,5.0
6.604697,2.8345823,10.0
0.6872103,2.960082,12.0
1.1092541,1.3552479,4.0
-0.77369237,1.4804379,4.0
3.2460594,1.9996841,6.0
3.0091586,1.5774877,5.0
-3.7534585,2.1225371,6.0
6.1883273,1.4963394,4.0
-0.6007426,1.4508425,4.0
-0.28429127,1.5769823,5.0
4.159273,1.7827796,5.0
-0.2981162,1.1254351,3.0
-1.2424717,2.0091166,6.0
5.2754993,2.989666,13.0
3.310221,1.8611591,5.0
2.9426403,2.1054215,6.0
7.428172,1.5351012,4.0
-0.55378866,2.6013234,8.0
2.326213,1.6825266,5.0
2.1253154,2.09555,6.0
2.432549,2.940401,11.0
-2.2253957,2.3281562,7.0
-0.5018554,1.9512347,6.0
2.0036917,1.0035309,0.0
5.206087,1.4451995,4.0
-3.9035072,1.4167342,4.0
-0.7190294,1.1708146,3.0
0.37062025,2.8554058,10.0
-0.9017303,2.0194206,6.0
5.0367513,2.655665,8.0
-1.2062905,1.3409984,4.0
1.558007,2.8958902,10.0
-0.12734938,2.944985,11.0
3.5093217,1.7864823,5.0
-1.6805537,2.369584,7.0
5.9368258,2.6066844,8.0
3.20684,2.4366589,7.0
-2.7827902,2.3012547,7.0
-0.19468021,1.6366438,5.0
2.417109,2.330252,7.0
4.192511,2.2589984,7.0
-0.8475237,2.8144112,9.0
5.362538,2.1485782,6.0
-0.0520463,2.1865678,6.0
1.8354034,1.2768856,3.0
7.0962524,1.196285,3.0
0.76636875,1.7195108,5.0
-0.98248005,2.9703352,12.0
-2.4446821,2.877161,10.0
5.1187267,2.6558785,8.0
-1.0438588,2.6175303,8.0
5.1530285,1.716172,5.0
-0.31388426,1.198846,3.0
-1.9208474,1.9603459,6.0
2.5352538,2.1132736,6.0
0.4207654,1.6192636,5.0
3.9757185,2.109463,6.0
4.125848,2.9786928,12.0
-0.72883916,1.3683524,4.0
4.926076,2.9989872,16.0
1.0861186,1.8649466,5.0
5.1961875,1.7371981,5.0
2.595379,1.1011274,2.0
-5.6866317,2.9930024,14.0
-0.9066379,1.39065,4.0
5.5166135,2.174051,6.0
5.1034904,1.4673207,4.0
3.2661145,2.6693132,8.0
6.987563,1.1209443,2.0
0.10262847,2.7807097,9.0
4.0551386,2.592977,8.0
4.006851,1.2437961,3.0
-2.8271022,2.3349113,7.0
3.2587948,1.3174767,4.0
-0.12596917,1.1972644,3.0
0.7971723,2.0906987,6.0
5.9676003,1.9256324,6.0
2.0787463,1.790794,5.0
3.6479316,1.7426231,5.0
7.4377365,2.233606,7.0
3.103971,2.540567,8.0
2.945169,2.879757,10.0
-0.3713236,1.5497532,4.0
9.768269,2.0043774,6.0
-1.7716255,1.0305293,1.0
0.029819846,1.9993463,6.0
0.7321565,2.3149507,7.0
-2.8324485,2.557548,8.0
0.40123487,1.1447552,3.0
3.7935095,2.1878796,6.0
2.0383296,1.4672842,4.0
0.053431153,1.9277058,6.0
4.5970364,1.4095654,4.0
6.4861193,2.0061817,6.0
0.29121208,1.8031166,5.0
-1.6171834,1.3173295,4.0
2.2043335,2.1281204,6.0
1.646585,1.6359721,5.0
-1.6011131,2.83547,10.0
1.1516781,2.3026018,7.0
3.5257354,2.4387708,7.0
-2.3970847,1.3649734,4.0
3.9334974,2.2957356,7.0
5.895056,2.6446872,8.0
3.2779171,1.3694999,4.0
6.9721737,1.6462371,5.0
-2.368751,1.2252257,3.0
6.1870394,1.3939805,4.0
0.091615915,1.8259621,5.0
6.1604867,2.919189,11.0
-2.1075897,1.0940701,2.0
-0.85920954,2.9748244,12.0
4.011636,1.4506124,4.0
-0.13695478,2.3798916,7.0
5.28131,2.3849568,7.0
1.9085348,2.9381933,11.0
-1.0031679,1.2904315,3.0
4.5641036,1.8880284,5.0
1.0263456,1.0792158,2.0
2.181548,1.0698491,2.0
4.4201326,2.2107444,6.0
-0.96302223,2.1981034,6.0
-0.4800279,2.4827466,7.0
4.6901855,2.5414639,8.0
7.568528,1.9926326,6.0
3.8440413,1.702362,5.0
1.8187096,2.82929,9.0
5.70385,2.7922113,9.0
-4.8569384,1.051439,2.0
1.8367376,2.872929,10.0
3.1431339,2.0985434,6.0
3.5310194,2.8283272,9.0
-6.241146,1.7138687,5.0
-0.34442973,2.590667,8.0
6.3778963,2.4866192,7.0
-2.9807787,2.6281395,8.0
2.4450712,2.9911819,13.0
2.2301056,1.5482514,4.0
2.5716956,1.9663484,6.0
2.055056,1.3400656,4.0
0.14495564,1.7859805,5.0
8.278968,2.9149659,11.0
2.437302,1.3749262,4.0
5.0641823,1.9610796,6.0
4.2158065,2.47009,7.0
-0.19014621,1.4507166,4.0
-1.1484528,2.466403,7.0
9.511322,1.1831474,3.0
-0.07101488,1.771033,5.0
0.61950684,1.2567636,3.0
1.3553283,1.3665178,4.0
1.4002591,2.0951316,6.0
-1.030083,2.9045987,10.0
2.7937496,1.3506726,4.0
1.6535977,2.8673763,10.0
1.7738402,2.427664,7.0
7.9380894,1.8910036,5.0
4.2074566,1.2529848,3.0
2.1153736,1.9994723,6.0
2.2139738,2.0284874,6.0
-0.15294623,1.9921489,6.0
1.0245717,1.7731054,5.0
-0.7262616,2.3185527,7.0
2.341632,2.2557669,7.0
5.624417,1.2074689,3.0
-4.8019056,1.1819115,3.0
3.325834,1.3448269,4.0
8.316849,2.9768682,12.0
1.6118579,2.765875,9.0
7.9700947,1.9585776,6.0
3.6328683,2.5920193,8.0
4.3387237,1.8601062,5.0
1.0651162,1.5512929,4.0
0.37169385,2.299121,7.0
3.2201107,2.6237655,8.0
5.1454105,1.6469618,5.0
7.6539884,2.3992927,7.0
6.723088,1.5741653,5.0
5.2768908,2.5748534,8.0
0.5141344,2.092267,6.0
1.9623332,1.2023144,3.0
1.1335273,1.9234228,6.0
-3.3433995,2.574806,8.0
4.76118,2.2598605,7.0
-0.011913538,2.7609854,9.0
4.0013275,1.1743957,3.0
3.376698,2.51131,8.0
4.241891,1.8612082,5.0
3.6432223,2.3190336,7.0
-0.48613262,1.2727962,3.0
5.118701,1.5709872,5.0
0.8506824,1.324498,4.0
-0.7461989,2.7192926,9.0
0.14758706,1.4121848,4.0
2.7281923,1.9950097,6.0
7.5210195,1.2816985,3.0
4.059927,2.1183014,6.0
6.167988,2.0503283,6.0
-1.2851875,1.4870579,4.0
1.7254384,1.1610881,3.0
1.7157819,2.1969976,6.0
7.1296377,2.999775,17.0
-1.247731,1.7111251,5.0
7.9755373,1.5727546,5.0
0.7895974,1.8050048,5.0
-1.6238365,1.7801504,5.0
4.178334,1.3166623,4.0
3.3219748,2.1745608,6.0
3.2636771,1.9760137,6.0
3.5402555,1.4196713,4.0
1.4948322,2.9285698,11.0
2.8544726,1.7060797,5.0
3.0343826,1.251756,3.0
1.0436656,1.8933771,6.0
-3.1323395,2.5395293,8.0
4.201813,1.8780003,5.0
-3.5878649,1.252073,3.0
3.597211,2.3855815,7.0
8.626774,2.7421846,9.0
-1.9681544,1.804499,5.0
1.6214277,1.4285787,4.0
2.7007682,2.5640426,8.0
-3.2338042,2.2386594,7.0
2.5514774,2.6660829,8.0
0.30080557,2.939414,11.0
3.1432798,2.053351,6.0
5.4439983,1.0649258,2.0
-0.99331975,1.2903988,3.0
5.002885,2.582597,8.0
0.50274837,2.295038,7.0
5.482331,1.9675114,6.0
2.1824887,2.338514,7.0
6.694337,2.7254672,9.0
3.6462364,1.9819014,6.0
3.8674,1.3700525,4.0
1.9030035,1.7841635,5.0
3.2559,2.1677217,6.0
3.2298737,2.2540503,7.0
0.24947166,2.3671908,7.0
3.5313778,1.3734663,4.0
6.9823737,1.8755457,5.0
3.198852,2.8441682,10.0
6.442878,1.1833137,3.0
2.4698339,2.7526126,9.0
4.082624,2.5243382,8.0
4.287423,1.3594977,4.0
2.926012,1.5336376,4.0
3.659659,2.951016,11.0
4.1795692,1.7875295,5.0
-0.48109865,2.8880386,10.0
3.3413305,2.3251367,7.0
5.0811973,1.9074388,6.0
5.8102026,2.3089938,7.0
2.7056663,2.1164696,6.0
4.9953537,1.1348128,3.0
-3.7461405,1.7265816,5.0
-2.0744276,2.296555,7.0
1.9491572,1.1472872,3.0
2.3586571,2.902813,10.0
1.7361187,2.3536458,7.0
-2.609212,1.6740861,5.0
0.13987768,1.2026621,3.0
-5.4341097,2.2778864,7.0
10.625505,1.3543609,4.0
2.4850254,1.7297024,5.0
-1.5426059,1.4025159,4.0
1.915756,1.0526882,2.0
2.0586174,2.4879847,8.0
9.401524,1.1975491,3.0
-2.1296682,2.804316,9.0
1.371026,1.1264253,3.0
6.7111163,2.7607684,9.0
4.747582,2.710682,9.0
0.6363797,2.8920898,10.0
0.058526754,2.4323473,7.0
0.2977203,2.6473927,8.0
0.044561625,2.5625415,8.0
-0.19770265,2.7021556,9.0
0.76915264,2.2675796,7.0
-1.9277844,1.1678725,3.0
6.22789,1.7145226,5.0
4.7038965,1.7730753,5.0
-2.5421362,1.4628028,4.0
2.3274496,2.5074296,8.0
2.1470504,2.9871347,13.0
3.4660547,1.1073238,2.0
0.7436743,1.8292718,5.0
0.89532995,1.8668344,5.0
-0.93440676,2.3722594,7.0
0.5027125,1.3321773,4.0
0.40966964,2.320683,7.0
1.6468301,1.2307162,3.0
0.16113853,1.4039991,4.0
3.0168724,2.2473216,7.0
2.9029884,2.3473825,7.0
3.991982,2.7413435,9.0
2.0253482,2.5256205,8.0
4.5006027,2.9466772,11.0
-0.16516018,1.680419,5.0
0.37988234,2.3653708,7.0
2.1639676,2.3900924,7.0
-1.7649713,2.7019448,9.0
2.4804933,1.3829398,4.0
-4.2013073,1.5410566,4.0
0.49679887,1.031715,1.0
-0.20966005,1.7953694,5.0
4.279275,1.2064316,3.0
-2.724369,1.4934478,4.0
0.857697,1.8463466,5.0
0.52579165,2.489222,8.0
3.3345835,1.8893046,5.0
3.3769863,1.9050348,6.0
-2.5054092,2.3177204,7.0
-0.91030335,1.3195004,4.0
3.9138744,1.7953198,5.0
-0.29189706,2.629374,8.0
6.5694695,2.4273567,7.0
2.9194374,2.901351,10.0
2.9486632,2.3293605,7.0
5.4133873,2.1351807,6.0
-4.3416224,2.6855698,8.0
-0.25855017,2.4337049,7.0
-2.4654655,1.5680475,4.0
-3.3236866,1.3683877,4.0
8.251431,2.7210665,9.0
1.0712392,1.0906374,2.0
10.4311285,2.5426989,8.0
1.219419,2.7196765,9.0
6.2528067,2.36664,7.0
1.7133676,1.4869435,4.0
4.562153,1.6121316,5.0
0.804297,2.7849743,9.0
0.48073494,2.1784568,6.0
-0.73853207,1.4054321,4.0
7.5153756,1.3628087,4.0
1.7316058,2.606421,8.0
4.167522,1.3264383,4.0
4.598227,2.9734406,12.0
-0.95737123,1.473829,4.0
-2.6589332,2.081305,6.0
4.459529,1.7932339,5.0
1.3954041,1.4760678,4.0
-0.4401934,1.984262,6.0
8.511468,2.2264676,7.0
5.917179,2.8192906,9.0
1.6138052,2.9936228,14.0
2.6468635,2.4003246,7.0
1.1606511,1.9856746,6.0
5.014957,2.5315154,8.0
8.003313,1.0507972,2.0
3.547817,1.079903,2.0
1.7455307,1.2674607,3.0
0.6414194,2.6930292,8.0
3.602867,1.4650534,4.0
3.67075,2.3319182,7.0
-0.23792505,2.9009376,10.0
4.599174,1.5115187,4.0
-1.7595291,1.581731,5.0
6.0878077,1.6680346,5.0
6.2453184,1.197075,3.0
-1.8951025,2.4436784,7.0
-2.9668083,1.0833737,2.0
2.0351927,2.6442127,8.0
1.2693598,1.8029473,5.0
2.2893243,1.9332483,6.0
4.887154,2.560774,8.0
-0.5868261,1.7296062,5.0
1.4473537,2.5364513,8.0
4.697257,2.0201445,6.0
3.9975498,1.0332375,1.0
3.2860844,2.640301,8.0
1.4315276,1.8889921,5.0
2.7875547,2.7581837,9.0
3.3486323,2.605564,8.0
5.3823195,2.5754008,8.0
-0.5868397,2.8836355,10.0
5.4331484,2.378902,7.0
1.2137197,1.4492505,4.0
0.59432673,1.7929537,5.0
1.6226029,2.9762335,12.0
4.4210205,2.138966,6.0
-4.344818,1.2954088,3.0
3.4786339,2.963224,12.0
-0.17073941,1.6870141,5.0
2.952218,1.7886806,5.0
4.0244656,2.6269066,8.0
1.7558196,1.7368069,5.0
-0.15839005,2.6501434,8.0
-0.8581376,2.5990863,8.0
1.4620719,1.7572231,5.0
2.8105268,2.9650888,12.0
-0.9928205,1.7687538,5.0
5.51912,1.885154,5.0
3.3975687,2.9835262,13.0
5.19146,2.010549,6.0
5.71257,2.1629424,6.0
8.527233,1.9625721,6.0
-1.9504194,2.0014668,6.0
0.1113863,1.5844063,5.0
1.883441,1.5982378,5.0
3.0234966,1.4756267,4.0
1.9258027,1.769193,5.0
2.947143,1.5491092,4.0
1.4845097,1.0820358,2.0
-0.220721,2.0336766,6.0
7.322981,1.0080823,1.0
3.7396202,2.1231704,6.0
7.019565,2.3155036,7.0
-0.019997597,2.0937214,6.0
4.826936,2.5276923,8.0
4.6937714,1.925844,6.0
5.0314507,2.6884527,8.0
5.725153,1.0265642,1.0
-3.1874561,1.5624318,4.0
0.6786189,1.299147,3.0
0.60207915,1.5046806,4.0
0.52828026,1.3040668,4.0
1.9437442,1.3074479,4.0
4.7272425,2.3447251,7.0
3.8524177,2.1252823,6.0
-4.1830025,1.7449995,5.0
-0.32645726,1.8412349,5.0
-1.4632146,2.113061,6.0
-1.5574968,1.7174275,5.0
-0.5670228,1.7569847,5.0
3.7440028,1.6224597,5.0
5.968453,2.3825274,7.0
3.0714338,1.2961116,3.0
-0.86803555,1.5120337,4.0
0.6862533,1.7485064,5.0
1.5475166,2.4657836,7.0
0.97736275,1.7463697,5.0
3.08375,1.9931779,6.0
2.3204827,2.1632411,6.0
1.9633054,2.4810152,7.0
4.4375176,2.513464,8.0
-0.62780213,1.8496931,5.0
-0.7440548,2.0014932,6.0
1.5692108,1.5255198,4.0
2.2681823,2.6485367,8.0
-0.5047593,2.9984179,15.0
1.3909583,1.2577572,3.0
3.8826914,2.1891317,6.0
0.32469893,2.897235,10.0
3.8648546,1.9086655,6.0
6.412896,1.9666121,6.0
-0.9147339,1.8449967,5.0
-3.9985175,2.5188003,8.0
0.30709815,2.5082312,8.0
-1.7017953,2.0823612,6.0
1.5225157,2.1551847,6.0
6.7319994,1.5231314,4.0
-1.4379232,1.647989,5.0
2.8123798,2.2453876,7.0
9.204084,1.2286501,3.0
5.488789,2.0133114,6.0
4.78397,1.0625885,2.0
2.0099926,2.6227326,8.0
2.3036742,1.8690343,5.0
3.2834425,1.3211075,4.0
-0.9589853,2.7647386,9.0
1.734667,2.010389,6.0
1.6590599,2.349812,7.0
2.666623,2.6229372,8.0
5.8155103,1.810591,5.0
0.1190958,2.3848152,7.0
1.272066,1.1542813,3.0
-6.771949,1.7238035,5.0
2.5038173,1.3737135,4.0
4.0850296,1.091168,2.0
5.808592,2.1178985,6.0
1.096509,1.6966999,5.0
-1.0836399,2.0651584,6.0
9.843287,1.8557532,5.0
8.098589,1.4104544,4.0
6.439849,2.0649824,6.0
-0.22236967,2.4371252,7.0
4.3937454,2.810196,9.0
5.6360807,2.7955973,9.0
1.9649732,2.215213,7.0
0.22617364,2.607716,8.0
0.025343895,2.7148297,9.0
2.0791452,2.6051974,8.0
-2.5821428,1.7279682,5.0
-0.68539476,1.9442854,6.0
2.816085,1.5688024,4.0
5.7499228,2.8660555,10.0
3.083535,1.3141198,4.0
-1.4904037,2.7428832,9.0
-0.8669648,2.794404,9.0
4.134624,2.0164566,6.0
1.2861038,1.0440823,2.0
6.1918883,2.8412921,10.0
5.1323214,1.1831108,3.0
4.3835177,1.6500657,5.0
1.888722,1.5575299,4.0
3.1562772,1.103159,2.0
2.2591379,1.7908491,5.0
4.810932,2.7246685,9.0
-4.2063923,2.941082,11.0
7.1116295,2.7107182,9.0
4.747733,1.9699779,6.0
5.3952646,1.6732553,5.0
4.442052,2.9614575,12.0
-0.8191347,2.2036116,6.0
1.1214246,1.7254893,5.0
3.2789662,1.8549482,5.0
-2.6856031,1.3415978,4.0
3.4009745,1.2012991,3.0
0.6925876,2.5829296,8.0
6.2685604,2.783273,9.0
1.4300508,1.7672584,5.0
-1.7769902,2.7465653,9.0
5.062664,2.1555371,6.0
7.3346224,2.569275,8.0
-2.1525106,2.3115702,7.0
2.0120773,1.207619,3.0
3.6221614,2.5981002,8.0
4.1118007,2.0169764,6.0
1.1642449,1.965068,6.0
2.547355,1.6762868,5.0
5.050638,2.135032,6.0
6.3988028,1.8086809,5.0
1.0169139,1.9586885,6.0
6.5220804,1.7997999,5.0
2.816725,1.8501678,5.0
1.6583922,1.2176192,3.0
-3.4188442,1.567238,4.0
5.0435553,1.9836748,6.0
-2.321889,2.9257762,11.0
4.5174026,1.785439,5.0
-1.9283082,1.0808269,2.0
2.133137,2.9031882,10.0
2.1815524,2.5182936,8.0
7.2667255,2.40204,7.0
4.242303,1.6317748,5.0
4.2262554,2.2609453,7.0
0.16286373,1.4582739,4.0
-3.6386805,1.2252499,3.0
0.8858447,2.5644832,8.0
3.6723933,1.7280421,5.0
2.246922,1.9620589,6.0
1.9202027,2.877848,10.0
-4.665783,2.0357766,6.0
4.235104,2.006321,6.0
-0.65233445,2.5426674,8.0
-2.7735443,2.359429,7.0
5.958398,1.5332148,4.0
1.5919977,2.9492202,11.0
6.1681023,2.3074017,7.0
2.2272215,2.110612,6.0
